timestamp,AX1,AY1,AZ1,AX2,AY2,AZ2,Light,Sound1,Sound2
16:08:47.199632,-0.59,-0.26,10.85,-0.89,0.1,9.8,626,31,9
16:08:47.355206,-0.64,-0.25,10.97,-0.85,0.03,9.7,626,32,12
16:08:47.514915,-0.65,-0.28,10.87,-0.87,0.02,9.78,626,32,15
16:08:47.670582,-0.64,-0.27,10.92,-0.84,0.03,9.73,625,32,15
16:08:47.830268,-0.58,-0.3,10.96,-0.87,0.03,9.78,626,32,13
16:08:47.985945,-0.56,-0.24,10.91,-0.86,0.03,9.75,626,34,18
16:08:48.145726,-0.6,-0.31,10.93,-0.89,0.03,9.73,625,34,21
16:08:48.301362,-0.61,-0.31,10.84,-0.87,0.0,9.74,626,32,11
16:08:48.461031,-0.61,-0.23,10.95,-0.79,0.05,9.81,626,34,11
16:08:48.620756,-0.59,-0.25,10.93,-0.86,0.07,9.71,626,33,14
16:08:48.776428,-0.62,-0.25,10.88,-0.86,0.07,9.75,625,33,17
16:08:48.936120,-0.64,-0.23,10.93,-0.83,0.06,9.76,626,33,16
16:08:49.091835,-0.65,-0.26,10.89,-0.84,0.03,9.74,626,32,13
16:08:49.251502,-0.6,-0.3,10.95,-0.87,0.0,9.74,626,34,13
16:08:49.407150,-0.6,-0.26,10.94,-0.84,0.04,9.74,627,34,10
16:08:49.566889,-0.54,-0.25,10.94,-0.86,0.02,9.77,627,34,20
16:08:49.722551,-0.64,-0.26,10.87,-0.91,0.04,9.69,627,34,12
16:08:49.882251,-0.59,-0.29,10.85,-0.87,0.01,9.73,626,31,12
16:08:50.037907,-0.57,-0.32,10.92,-0.89,0.04,9.78,626,36,15
16:08:50.197578,-0.62,-0.27,10.91,-0.84,0.05,9.66,626,32,10
16:08:50.353286,-0.56,-0.23,10.9,-0.82,0.06,9.76,626,34,13
16:08:50.513000,-0.58,-0.26,10.92,-0.89,0.04,9.77,626,33,14
16:08:50.668677,-0.62,-0.28,10.96,-0.82,0.05,9.76,626,37,28
16:08:50.828351,-0.63,-0.29,10.92,-0.8,0.04,9.74,626,32,10
16:08:50.984107,-0.6,-0.28,10.88,-0.87,0.07,9.73,626,31,11
16:08:51.143837,-0.57,-0.27,10.9,-0.87,0.06,9.7,626,32,10
16:08:51.299527,-0.56,-0.28,10.87,-0.87,0.08,9.8,626,33,14
16:08:51.458988,-0.64,-0.3,10.78,-0.85,0.09,9.78,626,32,9
16:08:51.614785,-0.62,-0.28,10.93,-0.82,0.03,9.79,626,33,11
16:08:51.774481,-0.58,-0.23,10.94,-0.87,0.03,9.76,626,32,9
16:08:51.930166,-0.63,-0.27,10.87,-0.83,0.06,9.73,626,31,10
16:08:52.089865,-0.63,-0.27,10.83,-0.85,0.03,9.75,626,32,10
16:08:52.245549,-0.55,-0.26,10.85,-0.86,0.04,9.71,626,32,12
16:08:52.405235,-0.61,-0.23,10.8,-0.86,0.01,9.79,626,33,11
16:08:52.560913,-0.57,-0.29,10.9,-0.89,0.05,9.73,626,32,12
16:08:52.720581,-0.64,-0.23,10.87,-0.84,0.01,9.84,626,34,11
16:08:52.876294,-0.62,-0.31,10.9,-0.83,0.05,9.81,625,31,11
16:08:53.035962,-0.57,-0.27,10.86,-0.88,0.02,9.75,625,31,9
16:08:53.191750,-0.63,-0.26,10.86,-0.89,0.01,9.73,625,32,20
16:08:53.351360,-0.56,-0.3,10.94,-0.81,0.01,9.79,625,37,71
16:08:53.507031,-0.61,-0.27,10.92,-0.87,0.07,9.8,625,35,23
16:08:53.666745,-0.6,-0.28,10.85,-0.86,0.05,9.73,625,34,13
16:08:53.822458,-0.59,-0.24,10.83,-0.82,0.03,9.74,625,33,12
16:08:53.982030,-0.6,-0.28,10.81,-0.89,0.05,9.75,625,32,11
16:08:54.137761,-0.54,-0.31,10.89,-0.84,0.09,9.78,625,30,10
16:08:54.297499,-0.6,-0.29,10.91,-0.86,0.04,9.75,625,33,10
16:08:54.457191,-0.6,-0.24,10.92,-0.87,0.06,9.74,626,32,12
16:08:54.612871,-0.63,-0.25,10.86,-0.87,0.03,9.71,627,32,9
16:08:54.768535,-0.61,-0.29,10.9,-0.86,0.04,9.81,627,33,11
16:08:54.928139,-0.6,-0.3,10.93,-0.9,0.05,9.78,627,32,14
16:08:55.083880,-0.62,-0.26,10.93,-0.88,0.07,9.73,627,34,9
16:08:55.243567,-0.54,-0.25,10.83,-0.87,0.04,9.77,627,30,16
16:08:55.399288,-0.57,-0.27,10.92,-0.83,0.04,9.75,627,32,13
16:08:55.558944,-0.61,-0.28,10.88,-0.87,0.05,9.68,627,33,10
16:08:55.714651,-0.62,-0.25,10.92,-0.87,0.07,9.8,627,32,12
16:08:55.874340,-0.62,-0.26,10.85,-0.81,0.07,9.71,627,32,10
